Código comuna,Comuna,REGIÓN,BENEFICIARIOS_CHILENOS,BENEFICIARIOS_EXTRANJEROS,TOTAL_BENEFICIARIOS,PORCENTAJE_EXTRANJEROS
11401,chile chico,De Aysén Del Gral. C. Ibáñez Del Campo,3935,145,4080,3.55
11402,río ibáñez,De Aysén Del Gral. C. Ibáñez Del Campo,779,58,837,6.93
12101,punta arenas,De Magallanes Y De La Antártica Chilena,109382,9431,118813,7.94
12102,laguna blanca,De Magallanes Y De La Antártica Chilena,23,7,30,23.33
12103,río verde,De Magallanes Y De La Antártica Chilena,14,2,16,12.5
12104,san gregorio,De Magallanes Y De La Antártica Chilena,54,2,56,3.57
12201,cabo de hornos,De Magallanes Y De La Antártica Chilena,261,22,283,7.77
12202,antártica,De Magallanes Y De La Antártica Chilena,44,11,55,20.0
12301,porvenir,De Magallanes Y De La Antártica Chilena,4568,565,5133,11.01
12302,primavera,De Magallanes Y De La Antártica Chilena,44,6,50,12.0
12303,timaukel,De Magallanes Y De La Antártica Chilena,17,7,24,29.17
12401,natales,De Magallanes Y De La Antártica Chilena,23285,2988,26273,11.37
12402,torres del paine,De Magallanes Y De La Antártica Chilena,36,16,52,30.77
