Código comuna,Comuna,promedio_pacientes,mediana_pacientes,promedio_migrantes,mediana_migrantes,porcentaje_migrantes_promedio
10101,Puerto Montt,14342.5,14525.0,476.1666666666667,488.5,3.32
10102,Calbuco,2965.25,3027.0,32.333333333333336,30.0,1.09
10103,Cochamó,306.25,303.0,2.1666666666666665,1.5,0.71
10104,Fresia,1572.5833333333333,1583.0,1.25,0.5,0.08
10105,Frutillar,2699.4166666666665,2600.0,14.416666666666666,14.0,0.53
10106,Los Muermos,1926.0833333333333,1886.0,26.25,24.5,1.36
10107,Llanquihue,2494.0,2602.5,6.916666666666667,6.0,0.28
10108,Maullín,1243.5,1130.5,3.5833333333333335,4.0,0.29
10109,Puerto Varas,3461.5833333333335,2996.5,60.166666666666664,60.5,1.74
10201,Castro,5235.166666666667,5326.0,134.66666666666666,142.0,2.57
10202,Ancud,3739.4166666666665,3714.5,7.75,8.0,0.21
10203,Chonchi,1554.8333333333333,1505.5,1.8333333333333333,1.5,0.12
10204,Curaco de Vélez,654.5833333333334,691.5,0.08333333333333333,0.0,0.01
10205,Dalcahue,1946.1666666666667,1939.5,16.166666666666668,16.5,0.83
10206,Puqueldón,593.0,573.5,0.0,0.0,0.0
10207,Queilén,837.0833333333334,880.0,2.5,1.0,0.3
10208,Quellón,3372.5833333333335,3341.5,68.33333333333333,71.0,2.03
10209,Quemchi,1091.3333333333333,1135.0,0.0,0.0,0.0
10210,Quinchao,1615.5,1500.5,0.5833333333333334,0.0,0.04
10301,Osorno,11472.0,11931.5,77.75,81.0,0.68
10302,Puerto Octay,1389.1666666666667,1365.5,5.916666666666667,5.0,0.43
10303,Purranque,2378.75,2311.0,14.416666666666666,12.5,0.61
10304,Puyehue,1522.6666666666667,1524.0,4.416666666666667,4.5,0.29
10305,Río Negro,1188.25,1235.0,2.1666666666666665,2.0,0.18
10306,San Juan de la Costa,2007.75,1973.0,3.4166666666666665,3.0,0.17
10307,San Pablo,2359.75,2412.0,1.9166666666666667,2.0,0.08
10401,Chaitén,917.8333333333334,888.5,16.333333333333332,15.0,1.78
10402,Futaleufú,778.3333333333334,780.0,5.5,5.0,0.71
10403,Hualaihué,1040.5,985.0,7.333333333333333,7.0,0.7
10404,Palena,370.25,379.5,0.16666666666666666,0.0,0.05
11101,Coyhaique,3927.3333333333335,3828.0,9.583333333333334,8.0,0.24
11102,Lago Verde,129.58333333333334,144.0,0.0,0.0,0.0
11201,Aysén,2515.25,2412.0,14.75,10.5,0.59
11202,Cisnes,1381.9166666666667,1406.0,9.416666666666666,9.0,0.68
11203,Guaitecas,392.5,389.5,12.416666666666666,9.5,3.16
11301,Cochrane,790.75,790.0,4.583333333333333,2.0,0.58
11302,O'Higgins,209.0,226.0,0.16666666666666666,0.0,0.08
11303,Tortel,110.0,118.0,0.0,0.0,0.0
11401,Chile Chico,873.3333333333334,887.0,1.3333333333333333,1.0,0.15
11402,Río Ibáñez,274.9166666666667,291.0,1.6666666666666667,1.5,0.61
12101,Punta Arenas,8355.25,8277.5,380.8333333333333,389.0,4.56
12102,Laguna Blanca,78.33333333333333,78.0,0.0,0.0,0.0
12103,Río Verde,55.0,54.5,0.5,0.0,0.91
12104,San Gregorio,95.75,98.0,1.9166666666666667,2.0,2.0
12201,Cabo de Hornos,232.08333333333334,230.5,5.0,5.5,2.15
12301,Porvenir,1170.5833333333333,1152.5,47.166666666666664,36.0,4.03
12303,Timaukel,74.5,75.0,0.0,0.0,0.0
12401,Natales,2302.0833333333335,2334.5,100.25,95.5,4.35
12402,Torres del Paine,46.666666666666664,43.5,0.5833333333333334,0.0,1.25
13101,Santiago,18592.166666666668,18873.5,4243.75,4379.0,22.83
13102,Cerrillos,4008.8333333333335,3889.5,257.1666666666667,263.0,6.42
13103,Cerro Navia,13520.666666666666,14222.5,415.0833333333333,338.5,3.07
13104,Conchalí,10447.75,10683.0,491.5833333333333,488.0,4.71
13105,El Bosque,20342.25,20673.0,687.4166666666666,669.5,3.38
13106,Estación Central,6590.75,6668.5,753.9166666666666,728.0,11.44
13107,Huechuraba,7577.833333333333,7467.5,487.3333333333333,491.0,6.43
13108,Independencia,6512.083333333333,6636.0,1201.9166666666667,1272.5,18.46
13109,La Cisterna,5495.333333333333,5194.5,517.5833333333334,497.5,9.42
13110,La Florida,30911.166666666668,30919.5,1406.5833333333333,1407.0,4.55
13111,La Granja,13368.916666666666,13574.5,133.41666666666666,91.0,1.0
13112,La Pintana,19992.833333333332,20366.0,202.58333333333334,197.0,1.01
13113,La Reina,4499.333333333333,4379.5,81.58333333333333,83.0,1.81
13114,Las Condes,7071.833333333333,6923.0,796.75,768.5,11.27
13115,Lo Barnechea,4456.083333333333,4399.5,612.9166666666666,606.5,13.75
13116,Lo Espejo,10871.25,11728.5,212.16666666666666,209.0,1.95
13117,Lo Prado,14368.166666666666,14500.5,746.9166666666666,714.0,5.2
13118,Macul,14749.666666666666,14581.5,718.75,725.5,4.87
13119,Maipú,26179.666666666668,26310.0,638.75,636.0,2.44
13120,Ñuñoa,8581.75,8695.5,296.0,296.5,3.45
13121,Pedro Aguirre Cerda,10551.75,10635.0,335.3333333333333,345.5,3.18
13122,Peñalolén,35180.25,34759.0,258.75,213.5,0.74
13123,Providencia,7626.916666666667,7653.0,786.1666666666666,791.0,10.31
13124,Pudahuel,19537.666666666668,19258.0,433.6666666666667,420.0,2.22
13125,Quilicura,15654.083333333334,16153.5,743.4166666666666,749.0,4.75
13126,Quinta Normal,13904.5,14121.5,1076.25,1044.5,7.74
13127,Recoleta,10139.083333333334,10057.5,659.6666666666666,667.5,6.51
13128,Renca,17494.333333333332,17373.0,753.0,764.0,4.3
13129,San Joaquín,10495.916666666666,10441.5,1000.3333333333334,983.0,9.53
13130,San Miguel,9596.666666666666,9856.5,1688.9166666666667,1726.0,17.6
13131,San Ramón,9622.083333333334,9545.5,218.25,218.0,2.27
13132,Vitacura,1531.4166666666667,1513.0,314.3333333333333,312.5,20.53
13201,Puente Alto,32119.333333333332,30988.0,416.5,53.5,1.3
13202,Pirque,2934.75,2933.0,1.6666666666666667,1.5,0.06
13203,San José de Maipo,2063.9166666666665,2017.5,31.166666666666668,33.5,1.51
13301,Colina,8358.25,8217.5,692.6666666666666,654.0,8.29
13302,Lampa,7268.083333333333,7240.0,592.25,611.5,8.15
13303,Tiltil,1940.0833333333333,2029.0,49.083333333333336,44.0,2.53
13401,San Bernardo,21892.166666666668,22137.5,327.0833333333333,327.0,1.49
13402,Buin,9235.333333333334,9203.0,223.75,215.5,2.42
13403,Calera de Tango,2019.9166666666667,1979.5,14.0,13.5,0.69
13404,Paine,6986.916666666667,6803.0,267.0833333333333,274.0,3.82
13501,Melipilla,10531.0,10917.5,566.1666666666666,572.0,5.38
13502,Alhué,2002.6666666666667,1960.5,223.0,215.5,11.14
13503,Curacaví,3537.9166666666665,3710.5,5.833333333333333,4.5,0.16
13504,María Pinto,1395.3333333333333,1408.0,14.416666666666666,15.0,1.03
13505,San Pedro,1559.25,1721.5,188.08333333333334,204.5,12.06
13601,Talagante,4366.833333333333,4269.5,16.416666666666668,14.0,0.38
13602,El Monte,3507.3333333333335,3532.5,13.333333333333334,11.5,0.38
13603,Isla de Maipo,4799.25,4631.0,25.666666666666668,23.5,0.53
13604,Padre Hurtado,5881.916666666667,5721.5,22.0,21.5,0.37
13605,Peñaflor,7049.666666666667,7047.0,139.25,136.5,1.98
14101,Valdivia,14574.25,14552.0,125.5,130.5,0.86
14102,Corral,797.3333333333334,762.0,0.16666666666666666,0.0,0.02
14103,Lanco,1983.0,2116.5,1.3333333333333333,1.0,0.07
14104,Los Lagos,2054.25,2101.5,0.5833333333333334,0.0,0.03
14105,Máfil,621.4166666666666,636.5,1.9166666666666667,1.0,0.31
14106,Mariquina,2292.9166666666665,2218.5,11.333333333333334,11.5,0.49
14107,Paillaco,2889.25,2901.0,4.833333333333333,4.5,0.17
14108,Panguipulli,4827.25,5047.0,29.25,28.0,0.61
14201,La Unión,3745.3333333333335,3833.0,3.5833333333333335,3.5,0.1
14202,Futrono,1791.8333333333333,1787.5,16.416666666666668,13.0,0.92
14203,Lago Ranco,1074.6666666666667,1074.5,0.0,0.0,0.0
14204,Río Bueno,1745.0833333333333,1803.5,12.25,11.0,0.7
15101,Arica,13022.583333333334,13235.0,1473.25,1456.5,11.31
15102,Camarones,281.0,278.5,34.333333333333336,30.0,12.22
15201,Putre,356.0,350.5,44.0,42.0,12.36
15202,General Lagos,54.916666666666664,31.0,5.333333333333333,3.0,9.71
16101,Chillán,15075.916666666666,15248.5,148.58333333333334,150.0,0.99
16102,Bulnes,2237.5833333333335,2120.0,0.16666666666666666,0.0,0.01
16103,Chillán Viejo,4286.0,4144.5,4.416666666666667,4.0,0.1
16104,El Carmen,1675.5833333333333,1652.0,3.25,3.0,0.19
16105,Pemuco,1276.6666666666667,1266.0,0.0,0.0,0.0
16106,Pinto,1772.6666666666667,1763.0,5.75,6.0,0.32
16107,Quillón,2910.8333333333335,2861.0,30.75,30.0,1.06
16108,San Ignacio,3084.25,3146.5,1.75,2.0,0.06
16109,Yungay,2884.1666666666665,2793.5,1.1666666666666667,1.0,0.04
16201,Quirihue,1254.1666666666667,1273.5,0.0,0.0,0.0
16202,Cobquecura,993.4166666666666,963.5,2.3333333333333335,1.5,0.23
16203,Coelemu,1296.1666666666667,1247.5,1.5,1.5,0.12
16204,Ninhue,1188.8333333333333,1196.0,0.9166666666666666,1.0,0.08
16205,Portezuelo,937.0833333333334,919.0,1.5833333333333333,1.5,0.17
16206,Ránquil,1259.1666666666667,1267.0,0.6666666666666666,0.0,0.05
16207,Trehuaco,1332.0,1333.0,0.3333333333333333,0.0,0.03
16301,San Carlos,5747.0,5651.0,19.166666666666668,17.0,0.33
16302,Coihueco,5465.0,5546.5,6.166666666666667,6.0,0.11
16303,Ñiquén,1876.5833333333333,1949.5,0.9166666666666666,1.0,0.05
16304,San Fabián,1033.25,1075.0,0.0,0.0,0.0
16305,San Nicolás,2876.5833333333335,2837.5,1.5833333333333333,1.5,0.06
