region,ruralidad,nivel_promedio,desviacion_estandar
1,0.07709124381544119,2.738465078817167,1.9677684466293976
2,0.09059696533392403,2.2642596079300032,1.1815709593330388
3,0.11807790478304292,2.697147930307402,1.8895984375581982
4,0.23797960174842148,2.8726323457989316,1.8345012321091236
5,0.1875729855975088,3.297732580770728,1.6768866767139257
6,0.3071263704558569,3.6599105597230235,1.6918877055399955
7,0.2961642040905452,3.245141567799694,1.9212678990403347
8,0.20493120417796518,2.864216129356232,1.8010525586614414
9,0.3567061942991825,3.307063416071297,1.897359853576728
10,0.311291678341272,3.2394695059306997,1.676342517282008
11,0.23325326928209233,5.170269548972511,1.1881192880721032
12,0.10280373831775691,4.16206005170014,1.0979944349828048
13,0.08075192635879391,3.6619175673579147,1.9726275774251465
14,0.30510232952937844,3.296142601150618,1.6085370728990958
15,0.10046614327772319,1.8880029440628068,0.8960130510356803
16,0.3625086147484493,3.1560992419021363,1.9152399167447094
