Código comuna,Comuna,ruralidad,nivel_promedio,desviacion_estandar
1101,Iquique,0.022839905192846288,2.1665589312648135,0.6341311976315218
1107,Alto Hospicio,0.012932428063368917,3.358874878758487,2.9306925084206727
1401,Pozo Almonte,0.4235033259423504,4.423503325942351,0.49411360926219966
1402,Camiña,1.0,4.0,0.0
1403,Colchane,1.0,1.0,0.0
1404,Huara,0.6802721088435375,1.0,0.0
1405,Pica,0.36363636363636354,4.0,0.0
2101,Antofagasta,0.010451505016722429,1.8651755852842808,0.6851931123973967
2102,Mejillones,0.17647058823529416,3.4705882352941178,1.143660123248446
2103,Sierra Gorda,1.0,6.0,0.0
2104,Taltal,0.26991150442477885,4.0,0.0
2201,Calama,0.07403508771929834,2.0996491228070178,1.2063719203539713
2203,San Pedro de Atacama,0.7806267806267806,4.0,0.0
2301,Tocopilla,0.11330049261083741,4.0,0.0
2302,María Elena,0.06779661016949157,1.9322033898305084,0.2513965588845988
3101,Copiapó,0.01801619433198387,1.717408906882591,0.7679699874481243
3102,Caldera,0.0821643286573146,6.0,0.0
3103,Tierra Amarilla,0.27142857142857135,1.8142857142857143,1.3340899213948614
3201,Chañaral,0.08395061728395059,4.0,0.0
3202,Diego de Almagro,0.09004739336492884,5.549763033175355,1.4312482341745496
3301,Vallenar,0.1787671232876713,2.962328767123288,2.512833918680477
3302,Alto del Carmen,1.0,4.0,0.0
3303,Freirina,0.551219512195122,4.0,0.0
3304,Huasco,0.3398876404494382,5.320224719101123,0.9473416117096337
4101,La Serena,0.1117693522906793,1.9348341232227488,1.094335485196135
4102,Coquimbo,0.07016728624535307,1.891728624535316,0.8497136980975059
4103,Andacollo,0.3675675675675676,2.8972972972972975,1.4464283105499087
4104,La Higuera,0.7467532467532467,3.24025974025974,1.3046131675521988
4105,Paiguano,1.0,4.0,0.0
4106,Vicuña,0.33488372093023266,4.0,0.0
4201,Illapel,0.35897435897435903,5.282051282051282,0.9593993299420362
4202,Canela,0.691860465116279,3.0755813953488373,1.3851736560187267
4203,Los Vilos,0.37583892617449655,5.248322147651007,0.9686775061835551
4204,Salamanca,0.41825095057034223,4.0,0.0
4301,Ovalle,0.24912280701754397,4.910526315789474,2.434920237933258
4302,Combarbalá,0.5248226950354611,2.425531914893617,1.498150361045442
4303,Monte Patria,0.5403508771929824,4.0,0.0
4304,Punitaqui,0.5846153846153845,2.246153846153846,1.4783646810504891
4305,Río Hurtado,1.0,1.0,0.0
5101,Valparaíso,0.024941017863161496,1.911695315133131,0.745927980162366
5102,Casablanca,0.40794223826714804,5.184115523465704,0.9829046108442822
5103,Concón,0.2142857142857142,3.75974025974026,0.42724114674275276
5105,Puchuncaví,0.2912280701754386,4.0,0.0
5107,Quintero,0.3629032258064515,6.0,0.0
5109,Viña del Mar,0.0,2.0192411924119242,0.6488751733628805
5301,Los Andes,0.20381231671554256,5.592375366568915,0.8056621035411455
5302,Calle Larga,0.540983606557377,4.918032786885246,0.9966350264636501
5303,Rinconada,0.6989966555183946,4.0,0.0
5304,San Esteban,0.5049999999999999,4.99,0.9999499987499375
5401,La Ligua,0.2886904761904763,5.4226190476190474,0.906307420575143
5402,Cabildo,0.5123152709359606,4.0,0.0
5403,Papudo,0.2615384615384615,3.2153846153846155,1.31841755603868
5404,Petorca,0.5284090909090908,4.0,0.0
5405,Zapallar,0.6089552238805971,3.217910447761194,0.975968768330481
5501,Quillota,0.15112160566706012,4.148760330578512,0.8578109742070339
5502,Calera,0.1701754385964913,4.436842105263158,2.697700878099874
5503,Hijuelas,0.41841004184100417,4.0,0.0
5504,La Cruz,0.46875,5.0625,0.998044963916957
5506,Nogales,0.3665480427046264,4.0,0.0
5601,San Antonio,0.1253229974160206,5.213178294573644,2.529879730111928
5602,Algarrobo,0.3690036900369005,5.2619926199261995,0.9650698767986732
5603,Cartagena,0.34133333333333327,4.0,0.0
5604,El Quisco,0.125,3.75,0.6614378277661477
5605,El Tabo,0.13692946058091282,3.5892116182572615,1.0313185980352522
5606,Santo Domingo,0.4756756756756757,6.524324324324325,0.49940797675464205
5701,San Felipe,0.16978922716627642,2.2540983606557377,0.9916871436060697
5702,Catemu,0.5414634146341464,4.0,0.0
5703,Llaillay,0.40434782608695663,5.191304347826087,0.9815307669670043
5704,Panquehue,0.6833333333333333,4.0,0.0
5705,Putaendo,0.4588744588744589,4.0,0.0
5706,Santa María,0.4952830188679245,4.0,0.0
5801,Quilpué,0.139275766016713,2.3125348189415043,0.8443381699097059
5802,Limache,0.23006833712984065,5.539863325740319,0.8417526890486318
5803,Olmué,0.4128113879003559,4.0,0.0
5804,Villa Alemana,0.04461279461279455,2.1321548821548824,0.6197178701939946
6101,Rancagua,0.03560750203859753,2.01821147050829,0.693968859769634
