Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
1,Tarapacá,11.0,Iquique,1101.0,Iquique,199587.0,98413.0,101174.0,97.3
1,Tarapacá,11.0,Iquique,1107.0,Alto Hospicio,142086.0,70649.0,71437.0,98.9
1,Tarapacá,14.0,Del Tamarugal,1401.0,Pozo Almonte,16878.0,8667.0,8211.0,105.6
1,Tarapacá,14.0,Del Tamarugal,1402.0,Camiña,1335.0,648.0,687.0,94.3
1,Tarapacá,14.0,Del Tamarugal,1403.0,Colchane,790.0,389.0,401.0,97.0
1,Tarapacá,14.0,Del Tamarugal,1404.0,Huara,2858.0,1484.0,1374.0,108.0
1,Tarapacá,14.0,Del Tamarugal,1405.0,Pica,6272.0,3093.0,3179.0,97.3
