Código región,Región,Provincia,Código comuna,Comuna,poblacion_total,País o continente de nacimiento,poblacion_migrante,porcentaje
1,Tarapacá,Iquique,1101,Iquique,199587.0,Total nacidos fuera del país,40655,20.37
1,Tarapacá,Iquique,1107,Alto Hospicio,142086.0,Total nacidos fuera del país,37628,26.48
1,Tarapacá,Del Tamarugal,1401,Pozo Almonte,16878.0,Total nacidos fuera del país,3695,21.89
1,Tarapacá,Del Tamarugal,1402,Camiña,1335.0,Total nacidos fuera del país,245,18.35
1,Tarapacá,Del Tamarugal,1403,Colchane,790.0,Total nacidos fuera del país,338,42.78
1,Tarapacá,Del Tamarugal,1404,Huara,2858.0,Total nacidos fuera del país,688,24.07
1,Tarapacá,Del Tamarugal,1405,Pica,6272.0,Total nacidos fuera del país,1686,26.88
