Código región,Región,Provincia,Código comuna,Comuna,poblacion_total,País o continente de nacimiento,poblacion_migrante,porcentaje
3,Atacama,Copiapó,3101,Copiapó,168831.0,Total nacidos fuera del país,19207,11.38
3,Atacama,Copiapó,3102,Caldera,18805.0,Total nacidos fuera del país,1114,5.92
3,Atacama,Copiapó,3103,Tierra Amarilla,11846.0,Total nacidos fuera del país,682,5.76
3,Atacama,Chañaral,3201,Chañaral,12345.0,Total nacidos fuera del país,463,3.75
3,Atacama,Chañaral,3202,Diego de Almagro,11397.0,Total nacidos fuera del país,735,6.45
3,Atacama,Huasco,3301,Vallenar,54222.0,Total nacidos fuera del país,2336,4.31
3,Atacama,Huasco,3302,Alto del Carmen,4788.0,Total nacidos fuera del país,86,1.8
3,Atacama,Huasco,3303,Freirina,7577.0,Total nacidos fuera del país,92,1.21
3,Atacama,Huasco,3304,Huasco,9369.0,Total nacidos fuera del país,452,4.82
