Código región,Región,Provincia,Código comuna,Comuna,poblacion_total,País o continente de nacimiento,poblacion_migrante,porcentaje
2,Antofagasta,Antofagasta,2101,Antofagasta,401096.0,Total nacidos fuera del país,76793,19.15
2,Antofagasta,Antofagasta,2102,Mejillones,14084.0,Total nacidos fuera del país,4202,29.84
2,Antofagasta,Antofagasta,2103,Sierra Gorda,1472.0,Total nacidos fuera del país,468,31.79
2,Antofagasta,Antofagasta,2104,Taltal,12097.0,Total nacidos fuera del país,948,7.84
2,Antofagasta,El Loa,2201,Calama,166334.0,Total nacidos fuera del país,35221,21.17
2,Antofagasta,El Loa,2202,Ollagüe,256.0,Total nacidos fuera del país,62,24.22
2,Antofagasta,El Loa,2203,San Pedro de Atacama,9843.0,Total nacidos fuera del país,2740,27.84
2,Antofagasta,Tocopilla,2301,Tocopilla,25400.0,Total nacidos fuera del país,2802,11.03
2,Antofagasta,Tocopilla,2302,María Elena,4834.0,Total nacidos fuera del país,770,15.93
