cod_region,Región,total_poblacion,total_poblacion_migrante,porcentaje_migrante_total,porcentaje_migrante_fonasa,ruralidad,nivel_promedio,desviacion_estandar,Total_centros,promedio_pacientes,porcentaje_migrantes_promedio,Area,tasa_centros_10k,tasa_atenciones_10k,densidad_poblacional
15,Arica y Parinacota,244569.0,36188.0,14.8,19.69683198096214,0.1004661432777231,1.8880029440628068,0.8960130510356803,21,13714.5,11.35,16873.0,0.86,560.76,14.49
1,Tarapacá,369806.0,84935.0,22.97,26.72767312606591,0.0770912438154411,2.738465078817167,1.9677684466293976,45,27774.58333333333,18.12,42226.0,1.22,751.06,8.76
2,Antofagasta,635416.0,124006.0,19.52,25.48451642263268,0.090596965333924,2.2642596079300032,1.1815709593330388,50,36004.75,18.13,126049.0,0.79,566.63,5.04
3,Atacama,299180.0,25167.0,8.41,10.521071449504719,0.1180779047830429,2.697147930307402,1.8895984375581985,48,23345.08333333333,3.43,75177.0,1.6,780.3,3.98
4,Coquimbo,832864.0,44578.0,5.35,5.9293607969285045,0.2379796017484214,2.872632345798932,1.834501232109124,167,59931.5,2.51,40580.0,2.01,719.58,20.52
5,Valparaíso,1896053.0,100655.0,5.31,6.275362486013865,0.1875729855975088,3.297732580770728,1.6768866767139257,237,151705.0,1.63,16402.0,1.25,800.11,115.6
13,Metropolitana de Santiago,7400741.0,964835.0,13.04,15.853153897717917,0.0807519263587939,3.6619175673579143,1.9726275774251465,417,548922.9166666666,4.92,15403.0,0.56,741.71,480.47
6,Libertador General Bernardo O'Higgins,987228.0,49272.0,4.99,7.287481314782266,0.3071263704558569,3.659910559723024,1.6918877055399957,165,86344.66666666667,2.24,16388.0,1.67,874.62,60.24
7,Maule,1123008.0,42349.0,3.77,5.139427239880135,0.2961642040905452,3.245141567799694,1.921267899040335,279,114597.16666666669,1.4,30299.0,2.48,1020.45,37.06
16,Ñuble,512289.0,10934.0,2.13,2.9049115694333376,0.3625086147484493,3.1560992419021363,1.9152399167447092,117,60462.91666666666,0.38,13178.0,2.28,1180.25,38.87
8,Biobío,1613059.0,46933.0,2.91,3.524691832688637,0.2049312041779651,2.864216129356232,1.8010525586614414,273,151219.0,1.4,23887.0,1.69,937.47,67.53
9,La Araucanía,1010423.0,21077.0,2.09,2.1536535702528377,0.3567061942991825,3.307063416071297,1.897359853576728,299,125699.08333333331,0.79,31845.0,2.96,1244.02,31.73
14,Los Ríos,398230.0,7508.0,1.89,1.979698551140292,0.3051023295293784,3.296142601150618,1.6085370728990958,119,38396.583333333336,0.54,18431.0,2.99,964.18,21.61
10,Los Lagos,890284.0,35285.0,3.96,4.443818070078969,0.311291678341272,3.2394695059307,1.676342517282008,297,77076.08333333333,1.29,48585.0,3.34,865.75,18.32
11,Aysén del General Carlos Ibáñez del Campo,100745.0,3931.0,3.9,4.7225501770956315,0.2332532692820923,5.170269548972511,1.1881192880721032,40,10604.583333333334,0.51,107449.4,3.97,1052.62,0.94
12,Magallanes y de la Antártica Chilena,166537.0,10997.0,6.6,8.659349404781642,0.1028037383177569,4.16206005170014,1.0979944349828048,25,12410.25,4.32,150775.0,1.5,745.19,1.1
